,element,ecutoff,dE
13,Ge,120.0,0.5103726782
14,Ge,150.0,0.5103726782
15,Ge,200.0,0.5103726782
0,H,30.0,0.0460966233
1,H,35.0,0.0460966233
2,H,40.0,0.0460966233
3,H,45.0,0.0460966233
4,H,50.0,0.0460966233
5,H,55.0,0.0460966233
6,H,60.0,0.0460966233
7,H,65.0,0.0460966233
8,H,70.0,0.0460966233
9,H,75.0,0.0460966233
10,H,80.0,0.0460966233
11,H,90.0,0.0460966233
12,H,100.0,0.0460966233
13,H,120.0,0.0460966233
14,H,150.0,0.0460966233
15,H,200.0,0.0460966233
0,He,30.0,0.0128003708
1,He,35.0,0.0128003708
2,He,40.0,0.0128003708
3,He,45.0,0.0128003708
4,He,50.0,0.0128003708
5,He,55.0,0.0128003708
6,He,60.0,0.0128003708
7,He,65.0,0.0128003708
8,He,70.0,0.0128003708
9,He,75.0,0.0128003708
10,He,80.0,0.0128003708
11,He,90.0,0.0128003708
12,He,100.0,0.0128003708
13,He,120.0,0.0128003708
14,He,150.0,0.0128003708
15,He,200.0,0.0128003708
0,Hf,30.0,0.320797271
1,Hf,35.0,0.320797271
2,Hf,40.0,0.320797271
3,Hf,45.0,0.320797271
4,Hf,50.0,0.320797271
5,Hf,55.0,0.320797271
6,Hf,60.0,0.320797271
7,Hf,65.0,0.320797271
8,Hf,70.0,0.320797271
9,Hf,75.0,0.320797271
10,Hf,80.0,0.320797271
11,Hf,90.0,0.320797271
12,Hf,100.0,0.320797271
13,Hf,120.0,0.320797271
14,Hf,140.0,0.0
15,Hf,150.0,0.320797271
16,Hf,160.0,0.0
17,Hf,200.0,0.320797271
0,Hg,30.0,0.1670005081
1,Hg,35.0,0.1670005081
2,Hg,40.0,0.1670005081
3,Hg,45.0,0.1670005081
4,Hg,50.0,0.1670005081
5,Hg,55.0,0.1670005081
6,Hg,60.0,0.1670005081
7,Hg,65.0,0.1670005081
8,Hg,70.0,0.1670005081
9,Hg,75.0,0.1670005081
10,Hg,80.0,0.1670005081
11,Hg,90.0,0.1670005081
12,Hg,100.0,0.1670005081
13,Hg,120.0,0.1670005081
14,Hg,140.0,0.0
15,Hg,150.0,0.1670005081
16,Hg,160.0,0.0
17,Hg,200.0,0.1670005081
0,I,30.0,0.035823017900000004
1,I,35.0,0.035823017900000004
2,I,40.0,0.035823017900000004
3,I,45.0,0.035823017900000004
4,I,50.0,0.035823017900000004
5,I,55.0,0.035823017900000004
6,I,60.0,0.035823017900000004
7,I,65.0,0.035823017900000004
8,I,70.0,0.035823017900000004
9,I,75.0,0.035823017900000004
10,I,80.0,0.035823017900000004
11,I,90.0,0.035823017900000004
12,I,100.0,0.035823017900000004
13,I,120.0,0.035823017900000004
14,I,150.0,0.035823017900000004
15,I,200.0,0.035823017900000004
0,In,30.0,0.2952723148
1,In,35.0,0.2952723148
2,In,40.0,0.2952723148
3,In,45.0,0.2952723148
4,In,50.0,0.2952723148
5,In,55.0,0.2952723148
6,In,60.0,0.2952723148
7,In,65.0,0.2952723148
8,In,70.0,0.2952723148
9,In,75.0,0.2952723148
10,In,80.0,0.2952723148
11,In,90.0,0.2952723148
12,In,100.0,0.2952723148
13,In,120.0,0.2952723148
14,In,150.0,0.2952723148
15,In,200.0,0.2952723148
0,Ir,30.0,0.1127347528
1,Ir,35.0,0.1127347528
2,Ir,40.0,0.1127347528
3,Ir,45.0,0.1127347528
4,Ir,50.0,0.1127347528
5,Ir,55.0,0.1127347528
6,Ir,60.0,0.1127347528
7,Ir,65.0,0.1127347528
8,Ir,70.0,0.1127347528
9,Ir,75.0,0.1127347528
10,Ir,80.0,0.1127347528
11,Ir,90.0,0.1127347528
12,Ir,100.0,0.1127347528
13,Ir,120.0,0.1127347528
14,Ir,150.0,0.1127347528
15,Ir,200.0,0.1127347528
0,K,30.0,0.0181331466
1,K,35.0,0.0181331466
2,K,40.0,0.0181331466
3,K,45.0,0.0181331466
4,K,50.0,0.0181331466
5,K,55.0,0.0181331466
6,K,60.0,0.0181331466
7,K,65.0,0.0181331466
8,K,70.0,0.0181331466
9,K,75.0,0.0181331466
10,K,80.0,0.0181331466
11,K,90.0,0.0181331466
12,K,100.0,0.0181331466
13,K,120.0,0.0181331466
14,K,150.0,0.0181331466
15,K,200.0,0.0181331466
0,Kr,30.0,0.0369033712
1,Kr,35.0,0.0369033712
2,Kr,40.0,0.0369033712
3,Kr,45.0,0.0369033712
4,Kr,50.0,0.0369033712
5,Kr,55.0,0.0369033712
6,Kr,60.0,0.0369033712
7,Kr,65.0,0.0369033712
8,Kr,70.0,0.0369033712
9,Kr,75.0,0.0369033712
10,Kr,80.0,0.0369033712
11,Kr,90.0,0.0369033712
12,Kr,100.0,0.0369033712
13,Kr,120.0,0.0369033712
14,Kr,150.0,0.0369033712
15,Kr,200.0,0.0369033712
0,Li,30.0,0.0163519482
1,Li,35.0,0.0163519482
2,Li,40.0,0.0163519482
3,Li,45.0,0.0163519482
4,Li,50.0,0.0163519482
5,Li,55.0,0.0163519482
6,Li,60.0,0.0163519482
7,Li,65.0,0.0163519482
8,Li,70.0,0.0163519482
9,Li,75.0,0.0163519482
10,Li,80.0,0.0163519482
11,Li,90.0,0.0163519482
12,Li,100.0,0.0163519482
13,Li,120.0,0.0163519482
14,Li,150.0,0.0163519482
15,Li,200.0,0.0163519482
0,Mg,30.0,0.46190966910000003
1,Mg,35.0,0.46190966910000003
2,Mg,40.0,0.46190966910000003
3,Mg,45.0,0.46190966910000003
4,Mg,50.0,0.46190966910000003
5,Mg,55.0,0.46190966910000003
6,Mg,60.0,0.46190966910000003
7,Mg,65.0,0.46190966910000003
8,Mg,70.0,0.46190966910000003
9,Mg,75.0,0.46190966910000003
10,Mg,80.0,0.46190966910000003
11,Mg,90.0,0.46190966910000003
12,Mg,100.0,0.46190966910000003
13,Mg,120.0,0.46190966910000003
14,Mg,150.0,0.46190966910000003
15,Mg,200.0,0.46190966910000003
0,Mn,30.0,2.0577519576
1,Mn,35.0,2.0577519576
2,Mn,40.0,2.0577519576
3,Mn,45.0,2.0577519576
4,Mn,50.0,2.0577519576
5,Mn,55.0,2.0577519576
6,Mn,60.0,2.0577519576
7,Mn,65.0,2.0577519576
8,Mn,70.0,2.0577519576
9,Mn,75.0,2.0577519576
10,Mn,80.0,2.0577519576
11,Mn,90.0,2.0577519576
12,Mn,100.0,2.0577519576
13,Mn,120.0,2.0577519576
14,Mn,140.0,0.0
15,Mn,150.0,2.0577519576
16,Mn,160.0,0.0
17,Mn,180.0,0.0
18,Mn,200.0,2.0577519576
0,Mo,30.0,0.19923468190000002
1,Mo,35.0,0.19923468190000002
2,Mo,40.0,0.19923468190000002
3,Mo,45.0,0.19923468190000002
4,Mo,50.0,0.19923468190000002
5,Mo,55.0,0.19923468190000002
6,Mo,60.0,0.19923468190000002
7,Mo,65.0,0.19923468190000002
8,Mo,70.0,0.19923468190000002
9,Mo,75.0,0.19923468190000002
10,Mo,80.0,0.19923468190000002
11,Mo,90.0,0.19923468190000002
12,Mo,100.0,0.19923468190000002
13,Mo,120.0,0.19923468190000002
14,Mo,150.0,0.19923468190000002
15,Mo,200.0,0.19923468190000002
0,Na,30.0,0.5595818529000001
1,Na,35.0,0.5595818529000001
2,Na,40.0,0.5595818529000001
3,Na,45.0,0.5595818529000001
4,Na,50.0,0.5595818529000001
5,Na,55.0,0.5595818529000001
6,Na,60.0,0.5595818529000001
7,Na,65.0,0.5595818529000001
8,Na,70.0,0.5595818529000001
9,Na,75.0,0.5595818529000001
10,Na,80.0,0.5595818529000001
11,Na,90.0,0.5595818529000001
12,Na,100.0,0.5595818529000001
13,Na,120.0,0.5595818529000001
14,Na,150.0,0.5595818529000001
15,Na,200.0,0.5595818529000001
0,Nb,30.0,0.5601233567
1,Nb,35.0,0.5601233567
2,Nb,40.0,0.5601233567
3,Nb,45.0,0.5601233567
4,Nb,50.0,0.5601233567
5,Nb,55.0,0.5601233567
6,Nb,60.0,0.5601233567
7,Nb,65.0,0.5601233567
8,Nb,70.0,0.5601233567
9,Nb,75.0,0.5601233567
10,Nb,80.0,0.5601233567
11,Nb,90.0,0.5601233567
12,Nb,100.0,0.5601233567
13,Nb,120.0,0.5601233567
14,Nb,150.0,0.5601233567
15,Nb,200.0,0.5601233567
0,Ne,30.0,0.0221681864
1,Ne,35.0,0.0221681864
2,Ne,40.0,0.0221681864
3,Ne,45.0,0.0221681864
4,Ne,50.0,0.0221681864
5,Ne,55.0,0.0221681864
6,Ne,60.0,0.0221681864
7,Ne,65.0,0.0221681864
8,Ne,70.0,0.0221681864
9,Ne,75.0,0.0221681864
10,Ne,80.0,0.0221681864
11,Ne,90.0,0.0221681864
12,Ne,100.0,0.0221681864
13,Ne,120.0,0.0221681864
14,Ne,140.0,0.0
15,Ne,150.0,0.0221681864
16,Ne,160.0,0.0
17,Ne,180.0,0.0
18,Ne,200.0,0.0221681864
0,Ni,30.0,0.08510339210000001
1,Ni,35.0,0.08510339210000001
2,Ni,40.0,0.08510339210000001
3,Ni,45.0,0.08510339210000001
4,Ni,50.0,0.08510339210000001
5,Ni,55.0,0.08510339210000001
6,Ni,60.0,0.08510339210000001
7,Ni,65.0,0.08510339210000001
8,Ni,70.0,0.08510339210000001
9,Ni,75.0,0.08510339210000001
10,Ni,80.0,0.08510339210000001
11,Ni,90.0,0.08510339210000001
12,Ni,100.0,0.08510339210000001
13,Ni,120.0,0.08510339210000001
14,Ni,150.0,0.08510339210000001
15,Ni,200.0,0.08510339210000001
0,O,30.0,1.116433447
1,O,35.0,1.116433447
2,O,40.0,1.116433447
3,O,45.0,1.116433447
4,O,50.0,1.116433447
5,O,55.0,1.116433447
6,O,60.0,1.116433447
7,O,65.0,1.116433447
8,O,70.0,1.116433447
9,O,75.0,1.116433447
10,O,80.0,1.116433447
11,O,90.0,1.116433447
12,O,100.0,1.116433447
13,O,120.0,1.116433447
14,O,140.0,0.0
15,O,150.0,1.116433447
16,O,160.0,0.0
17,O,200.0,1.116433447
0,Os,30.0,1.5183680101
1,Os,35.0,1.5183680101
2,Os,40.0,1.5183680101
3,Os,45.0,1.5183680101
4,Os,50.0,1.5183680101
5,Os,55.0,1.5183680101
6,Os,60.0,1.5183680101
7,Os,65.0,1.5183680101
8,Os,70.0,1.5183680101
9,Os,75.0,1.5183680101
10,Os,80.0,1.5183680101
11,Os,90.0,1.5183680101
12,Os,100.0,1.5183680101
13,Os,120.0,1.5183680101
14,Os,150.0,1.5183680101
15,Os,200.0,1.5183680101
0,P,30.0,0.0320304545
1,P,35.0,0.0320304545
2,P,40.0,0.0320304545
3,P,45.0,0.0320304545
4,P,50.0,0.0320304545
5,P,55.0,0.0320304545
6,P,60.0,0.0320304545
7,P,65.0,0.0320304545
8,P,70.0,0.0320304545
9,P,75.0,0.0320304545
10,P,80.0,0.0320304545
11,P,90.0,0.0320304545
12,P,100.0,0.0320304545
13,P,120.0,0.0320304545
14,P,150.0,0.0320304545
15,P,200.0,0.0320304545
0,Pb,30.0,0.2708545255
1,Pb,35.0,0.2708545255
2,Pb,40.0,0.2708545255
3,Pb,45.0,0.2708545255
4,Pb,50.0,0.2708545255
5,Pb,55.0,0.2708545255
6,Pb,60.0,0.2708545255
7,Pb,65.0,0.2708545255
8,Pb,70.0,0.2708545255
9,Pb,75.0,0.2708545255
10,Pb,80.0,0.2708545255
11,Pb,90.0,0.2708545255
12,Pb,100.0,0.2708545255
13,Pb,120.0,0.2708545255
14,Pb,150.0,0.2708545255
15,Pb,200.0,0.2708545255
0,Pd,30.0,0.1393316906
1,Pd,35.0,0.1393316906
2,Pd,40.0,0.1393316906
3,Pd,45.0,0.1393316906
4,Pd,50.0,0.1393316906
5,Pd,55.0,0.1393316906
6,Pd,60.0,0.1393316906
7,Pd,65.0,0.1393316906
8,Pd,70.0,0.1393316906
9,Pd,75.0,0.1393316906
10,Pd,80.0,0.1393316906
11,Pd,90.0,0.1393316906
12,Pd,100.0,0.1393316906
13,Pd,120.0,0.1393316906
14,Pd,150.0,0.1393316906
15,Pd,200.0,0.1393316906
0,Po,30.0,0.0426113019
1,Po,35.0,0.0426113019
2,Po,40.0,0.0426113019
3,Po,45.0,0.0426113019
4,Po,50.0,0.0426113019
5,Po,55.0,0.0426113019
6,Po,60.0,0.0426113019
7,Po,65.0,0.0426113019
8,Po,70.0,0.0426113019
9,Po,75.0,0.0426113019
10,Po,80.0,0.0426113019
11,Po,90.0,0.0426113019
12,Po,100.0,0.0426113019
13,Po,120.0,0.0426113019
14,Po,140.0,0.0
15,Po,150.0,0.0426113019
16,Po,160.0,0.0
17,Po,200.0,0.0426113019
0,Pt,30.0,2.1628785602
1,Pt,35.0,2.1628785602
2,Pt,40.0,2.1628785602
3,Pt,45.0,2.1628785602
4,Pt,50.0,2.1628785602
5,Pt,55.0,2.1628785602
6,Pt,60.0,2.1628785602
7,Pt,65.0,2.1628785602
8,Pt,70.0,2.1628785602
9,Pt,75.0,2.1628785602
10,Pt,80.0,2.1628785602
11,Pt,90.0,2.1628785602
12,Pt,100.0,2.1628785602
13,Pt,120.0,2.1628785602
14,Pt,150.0,2.1628785602
15,Pt,200.0,2.1628785602
0,Rb,30.0,0.0814176842
1,Rb,35.0,0.0814176842
2,Rb,40.0,0.0814176842
3,Rb,45.0,0.0814176842
4,Rb,50.0,0.0814176842
5,Rb,55.0,0.0814176842
6,Rb,60.0,0.0814176842
7,Rb,65.0,0.0814176842
8,Rb,70.0,0.0814176842
9,Rb,75.0,0.0814176842
10,Rb,80.0,0.0814176842
11,Rb,90.0,0.0814176842
12,Rb,100.0,0.0814176842
13,Rb,120.0,0.0814176842
14,Rb,150.0,0.0814176842
15,Rb,200.0,0.0814176842
0,Re,30.0,0.6611741024000001
1,Re,35.0,0.6611741024000001
2,Re,40.0,0.6611741024000001
3,Re,45.0,0.6611741024000001
4,Re,50.0,0.6611741024000001
5,Re,55.0,0.6611741024000001
6,Re,60.0,0.6611741024000001
7,Re,65.0,0.6611741024000001
8,Re,70.0,0.6611741024000001
9,Re,75.0,0.6611741024000001
10,Re,80.0,0.6611741024000001
11,Re,90.0,0.6611741024000001
12,Re,100.0,0.6611741024000001
13,Re,120.0,0.6611741024000001
14,Re,150.0,0.6611741024000001
15,Re,200.0,0.6611741024000001
0,Rh,30.0,0.5642669371
1,Rh,35.0,0.5642669371
2,Rh,40.0,0.5642669371
3,Rh,45.0,0.5642669371
4,Rh,50.0,0.5642669371
5,Rh,55.0,0.5642669371
6,Rh,60.0,0.5642669371
7,Rh,65.0,0.5642669371
8,Rh,70.0,0.5642669371
9,Rh,75.0,0.5642669371
10,Rh,80.0,0.5642669371
11,Rh,90.0,0.5642669371
12,Rh,100.0,0.5642669371
13,Rh,120.0,0.5642669371
14,Rh,150.0,0.5642669371
15,Rh,200.0,0.5642669371
0,Rn,30.0,0.054024309300000004
1,Rn,35.0,0.054024309300000004
2,Rn,40.0,0.054024309300000004
3,Rn,45.0,0.054024309300000004
4,Rn,50.0,0.054024309300000004
5,Rn,55.0,0.054024309300000004
6,Rn,60.0,0.054024309300000004
7,Rn,65.0,0.054024309300000004
8,Rn,70.0,0.054024309300000004
9,Rn,75.0,0.054024309300000004
10,Rn,80.0,0.054024309300000004
11,Rn,90.0,0.054024309300000004
12,Rn,100.0,0.054024309300000004
13,Rn,120.0,0.054024309300000004
14,Rn,150.0,0.0
15,Rn,200.0,0.054024309300000004
0,Ru,30.0,0.4869977185
1,Ru,35.0,0.4869977185
2,Ru,40.0,0.4869977185
3,Ru,45.0,0.4869977185
4,Ru,50.0,0.4869977185
5,Ru,55.0,0.4869977185
6,Ru,60.0,0.4869977185
7,Ru,65.0,0.4869977185
8,Ru,70.0,0.4869977185
9,Ru,75.0,0.4869977185
10,Ru,80.0,0.4869977185
11,Ru,90.0,0.4869977185
12,Ru,100.0,0.4869977185
13,Ru,120.0,0.4869977185
14,Ru,150.0,0.4869977185
15,Ru,200.0,0.4869977185
0,S,30.0,0.111644221
1,S,35.0,0.111644221
2,S,40.0,0.111644221
3,S,45.0,0.111644221
4,S,50.0,0.111644221
5,S,55.0,0.111644221
6,S,60.0,0.111644221
7,S,65.0,0.111644221
8,S,70.0,0.111644221
9,S,75.0,0.111644221
10,S,80.0,0.111644221
11,S,90.0,0.111644221
12,S,100.0,0.111644221
13,S,120.0,0.111644221
14,S,150.0,0.111644221
15,S,200.0,0.111644221
0,Sb,30.0,0.4579761731
