structure,total_energy
Tc1N1,-90.681884445
Dy1As1,-393.67720834
As1P1,-16.100836425
Ti1Fe1,-223.07405223
Lu1P1,-542.81347855
Na1H1,-48.160760245
Dy1Pd1,-511.12568608
Ba1C1,-223.808963445
Nd1Cd1,-325.94001795
Ho1Pd1,-537.25253521
Ce1Te1,-250.974624015
Li1Br1,-27.555222955
Sr1S1,-47.175999125
K1C1,-64.528032025
Nd1Zn1,-495.75304104
Al1Fe1,-182.654674335
Zr1N1,-59.748431815
Sr1Ca1,-72.44981923
Sc1N1,-56.04683559
Zn1Ni1,-402.18443253
Y1Te1,-59.646747
K1Tm1,-524.57762443
Yb1Ru1,-595.48213822
Pt1W1,-184.80548402
Y1S1,-58.490526895
K1Si1,-61.26819027
Pt1Au1,-242.64153755
Rb1Cl1,-41.197121695
Tm1Rh1,-577.405068165
La1S1,-237.96929049
Fe1Ir1,-254.28749799
Sb1N1,-102.276389255
Fe1Ag1,-307.00460594
Gd1Cu1,-539.67184302
Nd1Tm1,-734.072068395
Pr1As1,-259.895623135
Sn1C1,-88.429711825
Lu1Ir1,-626.570753
Ti1Pd1,-186.16793549
Sc1Si1,-51.52682255
Lu1Te1,-548.974144965
Pm1Se1,-302.756260855
Pd1N1,-136.55571271
Cd1S1,-72.86007389
Ir1W1,-170.367501755
Mg1Bi1,-108.86048571
Y1Rh1,-154.83038008
Ho1Er1,-849.38685871
Zr1Rh1,-158.06365795
Tb1Zr1,-409.85177311
Cs1Ho1,-442.047189575
Cd1Ag1,-204.422966515
Co1Pt1,-254.404896905
K1I1,-242.25339056
Fe1H1,-164.031377895
Y1Cd1,-107.1660097
Gd1P1,-345.032317415
Li1Ag1,-150.807112745
Ga1Ge1,-244.08818
Pr1In1,-322.94352214
Ce1O1,-258.384275335
Cr1Ni1,-259.22908498
Nb1O1,-185.625590685
Ge1As1,-115.675952665
In1Pb1,-501.91764904
Ti1Os1,-158.910157425
Sm1S1,-310.48843772
Ag1Pt1,-248.888249795
La1V1,-298.24692067
Eu1O1,-337.997861565
Nd1Au1,-402.533535165
Co1Re1,-244.320071075
Ti1Ni1,-231.138190125
K1B1,-58.70662507
Rb1Yb1,-525.64502201
Pm1Mg1,-297.31522334
Ho1Zn1,-641.28566392
Tc1Ni1,-252.159914365
Y1Ho1,-456.96583079
Nb1C1,-174.12077964
Mg1Zr1,-65.91897729
Co1Tc1,-229.752629695
Ga1Bi1,-229.988305995
Ho1Te1,-423.971146085
Tb1Tl1,-432.683461715
Al1Cu1,-221.02590831
Sn1Sb1,-171.75587212
Ba1Ce1,-452.48548774
Ce1Ag1,-381.27041345
Eu1Te1,-330.5964578
Tl1P1,-79.361495885
Mg1Ti1,-75.91573898
Zn1Ir1,-321.46593641
Mg1Sc1,-62.261732805
Cd1Pt1,-166.10952081
Cd1Pd1,-187.39985068
Li1Be1,-21.207985645
Ca1Cd1,-98.25798147
Mn1Cr1,-193.23040665
La1Zn1,-456.463661505
In1Te1,-85.441330455
Ta1Co1,-220.018059085
Pb1Se1,-451.391406205
Zr1Ti1,-109.13172898
Mo1N1,-78.656382815
Mn1Se1,-127.12885997
Mo1Ru1,-162.82492695
Li1H1,-7.79160341
Sm1Sb1,-390.695400225
Er1S1,-450.920761445
Tc1C1,-89.63949887
Cs1B1,-34.459750805
Y1As1,-55.52763967
Sc1Co1,-195.053909435
Na1F1,-71.957836925
Ga1Co1,-286.66620725
Sm1I1,-484.85131021
Cr1Pt1,-192.9702928
Sm1Bi1,-390.864545475
Li1Bi1,-99.707885085
Nb1Mo1,-233.59476976
Zn1O1,-251.2277632
Sm1Cu1,-500.08123861
Ca1Hg1,-192.553996995
Ti1Pt1,-164.90729246
Ba1Cd1,-275.697264915
Dy1Al1,-403.79740062
Tm1Tl1,-541.309597615
Li2O2,-27.766133325
Er1P1,-445.868742655
Ho1Zr1,-460.19639423
Tm1Ag1,-612.550056175
Sc1P1,-53.03422847
Co1Os1,-248.409745285
Al1Co1,-168.43881625
Ba1Nd1,-479.952531045
Tl1As1,-81.42803581
Tc1Ru1,-174.88593643
Ho1S1,-422.811596965
Ru1Rh1,-202.699790965
Gd1Te1,-351.239143655
Dy1Te1,-397.845948195
Li1Au1,-144.581204055
Y1Mg1,-62.68585017
Gd1Cd1,-398.739478705
Mg1O1,-37.072973875
Ce1Mg1,-254.017172905
Cu1Pt1,-307.04447773
Ca1Mg1,-53.78858737
Ce1Se1,-259.44476702
Ba1S1,-227.025867835
Nb1Tc1,-245.649427915
Sc1S1,-58.0515885
Sm1As1,-307.501769405
V1Tc1,-153.140597745
Tm1N1,-479.096026985
Na1Se1,-69.259382185
Li1N1,-17.140990385
Gd1S1,-350.079078
Ta1Pd1,-197.447490945
Cs1S1,-43.4800539
Yb1Tl1,-573.609920885
Mg1S1,-28.468275705
Eu1N1,-327.45117404
Sc1C1,-54.93412961
Ag1C1,-152.50346376
Be1Se1,-35.72510914
Cr1C1,-96.74595434
Mg1Hg1,-171.4698235
Co1Si1,-154.84227509
In1Pt1,-177.498454155
Ir1Rh1,-199.27662242
Zr1Os1,-148.88926499
Nd1As1,-274.28141547
Ho1Sb1,-503.006547775
Y1In1,-118.571653235
Tl1Bi1,-164.84393728
Ti1C1,-68.698174305
Tb1Se1,-382.095002975
Gd1N1,-348.087933345
In1Rh1,-180.67779327
Zr1Pt1,-154.90943296
Mo1Pd1,-195.13032153
Tm1Bi1,-561.436140255
Ho1Mg1,-427.003596625
V1N1,-82.63275837
Yb1Pd1,-627.83577065
Y1Zn1,-276.953516795
V1Ni1,-244.036014925
Cs1Eu1,-348.664352
Mn1Pd1,-232.04212507
Ti1B1,-62.694033555
Ni1Hg1,-326.622089985
Ga1Pd1,-264.107920865
Er1N1,-448.878662965
Mg1Ni1,-187.910928335
Mn1Te1,-118.673542905
Gd1Sb1,-430.282294125
La1P1,-232.956502675
Cr1O1,-108.23145834
Ti1Co1,-208.73762958
Sc1Hg1,-201.02660589
Pd1Ru1,-220.80095715
Tm1S1,-481.088730935
Ba1N1,-224.93293747
Tb1Ag1,-503.921707415
Mg1Cd1,-77.17793896
Cu1Pd1,-328.322012495
Cr1N1,-97.81916588
Ho1Cu1,-612.40730453
Os1N1,-109.312920945
La1Bi1,-318.39197529
Y1C1,-55.35089617
Dy1Ag1,-528.14233627
Lu1Hg1,-690.801777775
Cd1Sn1,-140.263657385
Ni1N1,-181.588873815
Dy1Cd1,-445.348469305
Sn1Te1,-92.69793579
Ta1Ru1,-165.15588491
Y1Au1,-183.760618985
Yb1Br1,-521.56050528
Li1Tl1,-79.56063302
Mn1Ni1,-277.050395905
Yb1Sb1,-593.58109422
Ba1Sr1,-249.895089805
Ho1Ag1,-554.26939867
Sc1Ge1,-152.47132311
V1Ga1,-210.008637125
Ti1Tc1,-140.231113115
Li1Cl1,-23.92106311
Ti1H1,-60.176847525
Al1Sn1,-98.70479939
B1Os1,-102.483147085
Rb1Sb1,-116.718224695
Sm1Cd1,-359.145304935
Cu1Cl1,-218.384909575
Tb1Hg1,-515.425037745
Sc1Sn1,-125.397621035
La1Ce1,-463.466589105
Sr1O1,-55.71670817
Cs1Gd1,-369.30927902
Bi1Pb1,-522.20785266
V1Ir1,-163.359167735
Ag1F1,-167.847238685
Yb1O1,-521.95028241
Ga1N1,-147.62005389
Zn1Cu1,-432.38251071
Er1Pd1,-565.36324113
Fe1O1,-183.90529046
Na1As1,-56.681578215
Eu1Cd1,-378.09582897
La1Te1,-239.149172435
Cs1Y1,-77.726144665
Cl1O1,-36.982226825
Pm1Zr1,-330.518199355
Pt1O1,-125.744344045
Tb1Sm1,-658.60059528
Fe1Se1,-185.087564475
Sr1Te1,-48.37383809
Ti1Nb1,-224.58754251
Cr1Ru1,-181.907414805
Ti1Ag1,-203.176314
Mo1Os1,-167.850920695
Cu1N1,-211.761687505
Nd1Hg1,-420.21244163
Ce1As1,-246.843099035
Re1Tc1,-175.811607345
Er1Rh1,-547.23605317
Si1Sn1,-85.112216955
La1In1,-298.06075574
Zn1Co1,-379.75045618
Sr1Hg1,-190.158293235
Pr1Ho1,-661.33667261
Pt1N1,-115.26939166
Sc1Ru1,-140.194443975
Mg1Si1,-22.024004325
Al1Bi1,-111.74266079
Tb1Zn1,-590.93919283
Y1Ir1,-137.21448664
Y1Al1,-65.617945065
Zn1Ag1,-374.23079704
Mo1Rh1,-177.02226528
Sb1Te1,-105.50896765
Mg1Cr1,-103.96648757
Zr1C1,-58.6022223
Gd1Au1,-475.33152865
Gd1Bi1,-430.459900915
V1Pt1,-177.81043279
Os1C1,-108.2424154
Sm1Zr1,-347.87637517
Pb1S1,-441.76083766
Dy1Tl1,-456.9041862
Ho1Bi1,-503.18900079
Sr1N1,-45.10649607
Re1Pt1,-200.466112965
Yb1Ta1,-572.095195735
Y1Se1,-68.116078125
Y1Sn1,-125.83530158
Mg1Se1,-38.10036499
Ni1Ru1,-265.7900116
Er1In1,-510.99123307
Sn1Pb1,-509.17429041
Na1S1,-59.62271237
Zr1Se1,-71.324999995
Lu1Rh1,-644.186157705
Ga1As1,-146.631017815
Mg1In1,-88.570557955
Na1Cl1,-64.316353525
Al1Ir1,-110.15665402
Yb1Te1,-514.546068295
Dy1Bi1,-477.064331325
Pr1Sm1,-549.068348315
Mn1N1,-115.582809775
Be1Pd1,-140.6559192
Nd1In1,-337.350304265
Au1C1,-146.26592695
Cs1I1,-218.0196557
V1H1,-73.082850675
Tm1Pd1,-595.532908055
Ga1Sb1,-229.81656339
Tb1S1,-372.466870615
V1Co1,-221.62669081
Re1C1,-104.19232664
Sb1Pb1,-522.00845363
Na1N1,-57.52652359
Mg1Rh1,-124.83161508
Ru1Pt1,-199.533114755
Zr1Cu1,-251.33104122
La1Hg1,-380.94873623
Eu1P1,-324.395408285
Si1Ru1,-99.98209794
K1S1,-67.711591035
Hg1O1,-175.61143163
Rb1Br1,-44.83644043
Tm1Sb1,-561.2869703
Pr1Sb1,-343.088413865
Zr1B1,-52.77314557
Tc1B1,-83.80277124
Y1Hg1,-201.46016764
Nb1Co1,-314.15075638
Tm1Zr1,-518.47545679
Mn1S1,-117.52100479
Mo1P1,-75.570793125
Ce1Al1,-256.93108528
Mo1Se1,-90.222587925
Er1Mg1,-455.11380864
Li1Mg1,-23.54724033
V1Fe1,-235.95147915
Mn1Pt1,-210.787474505
Pd1Rh1,-234.99615068
In1N1,-82.271540725
Er1Zn1,-669.39271297
Al1Si1,-24.911732205
Ho1Hg1,-565.772117865
Mo1Ir1,-159.41879667
Tl1Se1,-94.01414322
Cr1Pd1,-214.23704072
Tl1Sn1,-151.814044255
Eu1S1,-329.4085131
K1Se1,-77.364649555
Pr1Hg1,-405.821980505
Ce1S1,-249.78933189
Al1As1,-28.29879397
Yb1Eu1,-818.474208195
Pr1Bi1,-343.26395812
Gd1Al1,-357.190454475
Na1Tm1,-516.48531583
Mg1Sn1,-95.83165295
La1N1,-235.95356203
Cs1Nd1,-296.506697165
K1H1,-56.276811035
Na1Bi1,-140.09834008
Nd1Se1,-286.909630725
Na1Cu1,-249.305026135
Si1C1,-14.6987057
Ga1Tc1,-218.13642772
Nd1Al1,-284.397270445
Mn1Ir1,-196.379027645
Tm1Zn1,-699.56509202
Yb1Ga1,-638.76784774
Yb1Zn1,-731.86404059
Cs2O2,-51.99188654
Al1N1,-29.43479326
Pr1Te1,-264.019859
Ca1O1,-58.154192235
Pd1Au1,-263.93160594
Pr1Au1,-388.123023865
Pr1Al1,-269.98812322
Ti1Ir1,-150.46732537
Tb1Sc1,-406.188130325
Ge1Te1,-239.64221973
Bi1B1,-95.61313071
Ba1Ca1,-252.28564999
Dy1Zn1,-615.158840145
Ca1Se1,-59.223983005
La1Sb1,-318.20177369
Be1Ni1,-185.62916924
Pd1W1,-206.074475815
Tl1C1,-81.241708855
Y1Zr1,-95.884301035
Cu1O1,-222.30007786
B1Ir1,-94.026347255
Ag1I1,-330.00569164
Co1Ir1,-239.962049765
Zn1Se1,-252.322113065
Mo1Pt1,-173.86283625
Mg1Al1,-35.61439921
B1N1,-13.347173065
Cr1Co1,-236.801580465
Ga1Ir1,-228.3687289
Lu1N1,-545.886967405
Cs1Pm1,-312.3496517
La1Cd1,-286.523479625
Mg1Zn1,-246.97884972
Cu1Ni1,-373.29931206
Dy1S1,-396.685768365
Br1N1,-30.12813437
Si1Rh1,-114.15829083
Sc1Nb1,-210.90088545
Nb1Te1,-178.249033065
V1C1,-81.58776053
Nb1Rh1,-273.49179095
Tm1Cd1,-529.75508705
Sn1O1,-100.035577595
Er1Bi1,-531.297562395
Tc1W1,-160.13642132
Zn1Au1,-368.007147725
Eu1In1,-389.504669065
Sm1P1,-305.44511195
Tb1P1,-367.41802653
Lu1As1,-544.86512842
Hg1Te1,-168.30350485
V1Rh1,-180.961454695
Ca1Pd1,-164.027155715
Re1N1,-105.186582975
La1O1,-246.545008565
Pm1N1,-291.14184585
Pt1Rh1,-213.720026985
Ge1C1,-115.56865543
Ta1O1,-91.46029781
Zn1S1,-242.686410495
Bi1Se1,-114.157385515
Gd1O1,-358.62355877
Ag1Ir1,-234.410620005
Mg1Au1,-153.773698975
Cs1K1,-87.13379145
Tm1In1,-541.156383175
Cd1Au1,-198.18619378
Be1Cu1,-215.816661325
Al1Ru1,-113.564048865
V1Mo1,-141.03560593
Cd1In1,-133.00711558
Tb1N1,-370.475010955
Yb1Rh1,-609.70810266
Ti1Si1,-65.287486495
Er1Sb1,-531.11993441
Dy1Se1,-406.313792855
Cu1I1,-388.225636595
Pr1Tl1,-323.08664113
V1Ru1,-166.76652307
Al1Os1,-118.56922486
Ta1C1,-79.908927235
Sm1In1,-370.468450215
B1As1,-12.26334863
Sc1Ir1,-136.80452189
Pr1Ag1,-394.32283165
Mg1Te1,-29.637621075
Pr1Cd1,-311.53059705
Na1La1,-273.38968258
Ca1Br1,-57.77255573
Mn1As1,-114.557647105
Rb1Al1,-43.663344065
Sm1Te1,-311.648451355
Mg1Pd1,-142.971474535
Ti1S1,-71.698015835
Zr1Au1,-186.973574065
Pd1C1,-135.531179605
Tl1Hg1,-227.44136409
Tb1As1,-369.47476389
Ga1P1,-144.55751607
Pm1S1,-293.12883332
Mg1Ga1,-153.820607025
Li1I1,-193.73527476
Hg1Pd1,-281.664678005
K1Lu1,-591.319189735
Ta1Nb1,-235.89319537
Y1Er1,-485.076704975
Gd1Se1,-359.706544285
Sc1Cu1,-247.67643184
Ce1C1,-246.718318285
Nd1Mg1,-281.47221308
Pm1Ho1,-691.58881382
Zn1Pt1,-335.940149215
Co1Ru1,-243.3817753
Hg1Os1,-254.306268445
Zn1Re1,-325.792478845
Cd1Te1,-74.054012655
Ca1Pb1,-467.180911645
Dy1Er1,-823.259686215
Yb1N1,-511.390034555
Yb1Ag1,-644.850919585
H1Br1,-20.82424464
Tm1P1,-476.03602234
W1N1,-89.612988555
Sn1S1,-91.497755055
Ca1La1,-263.237767405
Sc1Cd1,-106.733714975
Ho1In1,-482.881119905
Pr1Se1,-272.50185419
Gd1Rh1,-446.39295746
Mn1P1,-112.540781525
Ta1Mo1,-139.456105515
Ir1Ru1,-185.093440015
Tm1Te1,-482.2266754
Ti1Al1,-78.86058693
Ru1C1,-103.276764995
Mn1Zn1,-336.123185735
Sr1Y1,-81.340516285
Mg1As1,-25.46972943
Y1Ti1,-105.871721825
Fe1Au1,-300.77572164
Zr1O1,-70.25296694
Fe1Co1,-312.55423937
Ta1N1,-80.989139655
Al1P1,-26.320812575
Ni1Ir1,-262.373248365
Ta1Tc1,-151.5350142
Mn1V1,-178.04332642
Pr1Mg1,-267.06418936
Cd1O1,-81.394938865
Er1H1,-439.35776343
Al1Sb1,-111.5547421
Zn1Te1,-243.86771265
Yb1Cd1,-562.05433876
In1Ag1,-215.80816709
Ag1Rh1,-252.0296154
Pm1Nd1,-546.059526035
Gd1In1,-410.14568701
Fe1Cl1,-179.9906813
Yb1Ir1,-592.078995425
In1Pd1,-198.800900175
Y1P1,-53.43337391
Ag1Se1,-165.2499861
Te1As1,-22.29515181
Cu1F1,-225.98378101
Sc1As1,-55.08598666
Zr1As1,-58.73268926
Zn1Os1,-329.8890536
Tb1Lu1,-895.96603045
Eu1Er1,-756.012410655
Sn1Ge1,-186.01253814
Pm1I1,-467.49093094
Cu1Rh1,-310.19328652
Zr1In1,-121.796407515
Ag1Br1,-163.88249195
Lu1Zr1,-585.236373825
Sr1Lu1,-570.68121206
Sm1Au1,-435.73942858
Fe1N1,-173.47499345
Si1Os1,-104.98499006
Ir1C1,-99.773805585
Rb1P1,-31.40886884
Er1Cd1,-499.58561185
